v8-version,3,32,7,0,0
code-creation,Stub,11,0x24ef7c719560,228,"BinaryOpICStub(MUL:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c719660,228,"BinaryOpICStub(MUL_ReuseLeft:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c719760,228,"BinaryOpICStub(MUL_ReuseRight:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c719860,312,"BinaryOpICStub(SAR_ReuseRight:Int32*Smi->Int32)"
code-creation,Stub,11,0x24ef7c7199a0,312,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,11,0x24ef7c719ae0,312,"BinaryOpICStub(SAR_ReuseRight:Int32*Smi->Smi)"
code-creation,Stub,11,0x24ef7c719c20,320,"BinaryOpICStub(SAR:Number*Smi->Smi)"
code-creation,Stub,11,0x24ef7c719d60,320,"BinaryOpICStub(SAR_ReuseRight:Number*Smi->Smi)"
code-creation,Stub,11,0x24ef7c719ea0,196,"BinaryOpICStub(SAR_ReuseLeft:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c719f80,196,"BinaryOpICStub(SAR_ReuseRight:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71a060,312,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
code-creation,Stub,11,0x24ef7c71a1a0,312,"BinaryOpICStub(SHL_ReuseRight:Int32*Smi->Int32)"
code-creation,Stub,11,0x24ef7c71a2e0,312,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71a420,312,"BinaryOpICStub(SHL_ReuseRight:Int32*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71a560,320,"BinaryOpICStub(SHL_ReuseRight:Number*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71a6a0,196,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,11,0x24ef7c71a780,196,"BinaryOpICStub(SHL_ReuseLeft:Smi*Smi->Int32)"
code-creation,Stub,11,0x24ef7c71a860,196,"BinaryOpICStub(SHL_ReuseRight:Smi*Smi->Int32)"
code-creation,Stub,11,0x24ef7c71a940,196,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71aa20,196,"BinaryOpICStub(SHL_ReuseLeft:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71ab00,196,"BinaryOpICStub(SHL_ReuseRight:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71abe0,336,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71ad40,336,"BinaryOpICStub(SHR_ReuseLeft:Int32*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71aea0,336,"BinaryOpICStub(SHR_ReuseRight:Int32*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71b000,336,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71b160,336,"BinaryOpICStub(SHR_ReuseLeft:Number*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71b2c0,498,"BinaryOpICStub(SHR_ReuseRight:Number*Smi->Int32)"
code-creation,Stub,11,0x24ef7c71b4c0,220,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71b5a0,220,"BinaryOpICStub(SHR_ReuseLeft:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71b680,220,"BinaryOpICStub(SHR_ReuseRight:Smi*Smi->Smi)"
code-creation,Stub,11,0x24ef7c71b760,372,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,11,0x24ef7c71b8e0,416,"BinaryOpICStub(SUB_ReuseLeft:Int32*Int32->Int32)"
code-creation,Stub,11,0x24ef7c71ba80,498,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,11,0x24ef7c71bc80,534,"BinaryOpICStub(SUB_ReuseRight:Int32*Number->Number)"
code-creation,Stub,11,0x24ef7c71bea0,348,"BinaryOpICStub(SUB_ReuseLeft:Int32*Smi->Int32)"
code-creation,Stub,11,0x24ef7c71c000,300,"BinaryOpICStub(SUB_ReuseRight:Int32*Smi->Int32)"
code-creation,Stub,11,0x24ef7c71c140,498,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,11,0x24ef7c71c340,538,"BinaryOpICStub(SUB_ReuseLeft:Number*Int32->Number)"
